pin,signal,soc,group,funcs,evidence,source
179,PCIE20X1_2_WAKEN_M0/PWM8_M2,AW31,PCIE,CIF_D12|PCIE20X1_2_WAKEN_M0|HDMI_TX0_SDA_M2|I2C5_SDA_M0|UART4_RX_M1|PWM8_M2|SPI3_CLK_M3|GPIO3_D0_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
180,PCIE20X1_2_CLKREQN_M0,AU30,PCIE,CIF_D11|PCIE20X1_2_CLKREQN_M0|HDMI_TX0_SCL_M2|I2C5_SCL_M0|SPI3_MOSI_M3|GPIO3_C7_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
181,PCIE20X1_2_PERSTN_M0,AY27,PCIE,CIF_D13|PCIE20X1_2_PERSTN_M0|UART4_TX_M1|PWM9_M2|SPI0_MISO_M3|GPIO3_D1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
182,1A0-PCIE20X1_1CLKREQN,G40,PCIE,PCIE20X1_1_CLKREQN_M2|DP0_HPDIN_M2|I2C2_SDA_M4|UART6_RX_M1|SPI4_MISO_M2|GPIO1_A0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
183,MIPI_CAM3_PDN_L,AV30,CAMERA,CIF_D10|SPI3_MISO_M3|GPIO3_C6_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
184,PHY1_MDI_0-,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
185,I2C0_SCL_M2,AH41,I2C,I2S1_SDO0_M1|CPU_BIG0_AVS|I2C0_SCL_M2|UART0_CTSN|UART1_TX_M2|SPI0_CS0_M0|HDMI_TX0_CEC_M1|GPIO0_D1_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
186,PHY1_MDI_0+,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
187,I2C0_SDA_M2,AG41,I2C,I2S1_SDO1_M1|I2C0_SDA_M2|UART1_RX_M2|SPI3_MOSI_M2|GPIO0_D2_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
188,LEFT-LINK,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
189,BT_WAKE_HOST_H,AG38,WIFI_BT_CTRL,I2S1_SDI0_M1|GPU_AVS|UART0_TX_M0|I2C4_SCL_M2|PWM4_M0|GPIO0_C5_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
190,PHY1_MDI_1-,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
191,CC_INT0_L,AL38,OTHER,I2S1_LRCK_RX_M1|PDM0_CLK1_M1|PWM2_M0|UART0_RX_M0|I2C4_SDA_M2|DP0_HPDIN_M1|GPIO0_C4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
192,PHY1_MDI_1+,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
193,I2S0_SDO0,P41,AUDIO,I2S0_SDO0|I2C4_SCL_M4|UART4_CTSN|GPIO1_C7_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
194,RIGHT-ACT,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
195,I2S0_SDI0,N42,AUDIO,I2S0_SDI0|GPIO1_D4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
196,PHY1_MDI_2-,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
197,I2S0_LRCK_TX,P39,AUDIO,I2S0_LRCK_TX|I2C2_SCL_M3|UART4_RTSN|GPIO1_C5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
198,PHY1_MDI_2+,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
199,I2S0_SCLK_TX,M42,AUDIO,I2S0_SCLK_TX|I2C6_SCL_M1|UART3_CTSN|PWM7_IR_M2|SPI4_CS0_M0|GPIO1_C3_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
200,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
201,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
202,PHY1_MDI_3-,,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
203,UART9-TX,AW30,UART_DEBUG,MCU_JTAG_TMS_M1|UART9_TX_M2|PWM11_IR_M3|SPI0_CS1_M3|GPIO3_D5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
204,PHY1_MDI_3+,-,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
205,UART9-RX,AV31,UART_DEBUG,HDMI_TX0_HPD_M1|MCU_JTAG_TCK_M1|UART9_RX_M2|SPI0_CS0_M3|GPIO3_D4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
206,RK803_EN2_PRO,AV23,OTHER,CIF_VSYNC|BT1120_D9|I2S1_SDO2_M0|PCIE20X1_2_BUTTON_RSTN|I2C7_SDA_M3|UART8_CTSN_M0|PWM15_IR_M1|CAN1_TX_M1,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
207,UART9-RTSN,AY30,UART_DEBUG,CIF_D14|I2C7_SCL_M2|UART9_RTSN_M2|SPI0_MOSI_M3|GPIO3_D2_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
208,SDMMC_DET_L,AC38,STORAGE_SDMMC,SDMMC_DET|GPIO0_A4_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
209,UART9-CTSN,AY31,UART_DEBUG,CIF_D15|I2C7_SDA_M2|UART9_CTSN_M2|PWM10_M2|SPI0_CLK_M3|GPIO3_D3_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
210,32KOUT_WIFI,AD38,WIFI_BT_CTRL,CLK32K_IN|CLK32K_OUT0|GPIO0_B2_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
211,USB_HOST_PWREN_H,AU23,USB,BT1120_D11|UART9_RX_M1|PWM12_M1|SPI3_MISO_M1|GPIO4_B5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
212,I2S0_MCLK,U36,AUDIO,I2S0_MCLK|I2C6_SDA_M1|UART3_RTSN|PWM3_IR_M2|SPI4_CLK_M0|GPIO1_C2_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
213,GAUGE_ALRT,AG39,OTHER,I2S1_SDI3_M1|PDM0_SDI1_M1|I2C6_SCL_M0|UART1_CTSN_M2|PWM7_IR_M0|SPI3_MISO_M2|GPIO0_D0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
214,SARADC_VIN0_BOOT,AW15,ADC,SARADC_IN0_BOOT,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
215,WIFI_REG_ON_H,AL40,WIFI_BT_CTRL,I2S1_SDI2_M1|PDM0_SDI0_M1|I2C6_SDA_M0|UART1_RTSN_M2|PWM6_M0|SPI0_MISO_M0|GPIO0_C7_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
216,WIFI_WAKE_HOST_H,W38,WIFI_BT_CTRL,REFCLK_OUT|GPIO0_A0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
217,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
218,RTC_INT_L,AC37,RTC,SPI2_CS1_M2|I2C1_SCL_M1|UART0_RX_M1|GPIO0_B0_z,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
219,SDMMC_D0,AV2,STORAGE_SDMMC,SDMMC_D0|PDM1_SDI3_M0|JTAG_TCK_M1|I2C3_SCL_M4|UART2_TX_M1|PWM8_M1|GPIO4_D0_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
220,LCD_BL_PWM14_M1,AT15,DISPLAY_CTRL,CIF_HREF|BT1120_D8|I2S1_SDO1_M0|PCIE20X1_1_BUTTON_RSTN|I2C7_SCL_M3|UART8_RTSN_M0|PWM14_M1|SPI0_CS0_M1,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
221,SDMMC_D1,AR2,STORAGE_SDMMC,SDMMC_D1|PDM1_SDI2_M0|JTAG_TMS_M1|I2C3_SDA_M4|UART2_RX_M1|PWM9_M1|GPIO4_D1_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
222,SPK_CTL_H,AU15,OTHER,CIF_D5|BT1120_D5|I2S1_SDI0_M0|I2C3_SDA_M2|UART3_TX_M2|SPI2_MOSI_M1|GPIO4_A5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
223,SDMMC_D2,AV1,STORAGE_SDMMC,SDMMC_D2|PDM1_SDI1_M0|JTAG_TCK_M0|I2C8_SCL_M0|UART5_CTSN_M0|GPIO4_D2_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
224,4A2-PCIE20X1_1PERSTN,AV26,PCIE,CIF_D2|BT1120_D2|I2S1_LRCK_TX_M0|PCIE20X1_1_PERSTN_M1|SPI0_CLK_M1|GPIO4_A2_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
225,SDMMC_D3,AT1,STORAGE_SDMMC,SDMMC_D3|PDM1_SDI0_M0|JTAG_TMS_M0|I2C8_SDA_M0|UART5_RTSN_M0|PWM10_M1|GPIO4_D3_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
226,4A1,AW18,OTHER,CIF_D1|BT1120_D1|I2S1_SCLK_TX_M0|PCIE20X1_1_WAKEN_M1|UART9_CTSN_M1|SPI0_MOSI_M1|GPIO4_A1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
227,SDMMC_CMD,AU1,STORAGE_SDMMC,SDMMC_CMD|PDM1_CLK1_M0|MCU_JTAG_TCK_M0|CAN0_TX_M1|UART5_RX_M0|PWM7_IR_M1|GPIO4_D4_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
228,1A1-PCIE20X1_1WAKE,L40,PCIE,PCIE20X1_1_WAKEN_M2|I2C2_SCL_M4|UART6_TX_M1|SPI4_MOSI_M2|GPIO1_A1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
229,SDMMC_CLK,AR1,STORAGE_SDMMC,SDMMC_CLK|PDM1_CLK0_M0|TEST_CLKOUT_M0|MCU_JTAG_TMS_M0|CAN0_RX_M1|UART5_TX_M0|GPIO4_D5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
230,HP_DET_L,R38,OTHER,I2C3_SDA_M0|UART3_RX_M0|SPI4_MISO_M0|GPIO1_C0_z,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
231,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
232,I2C3-SCL,AY34,I2C,GMAC1_PTP_REF_CLK|I2C3_SCL_M1|SPI1_MOSI_M1|GPIO3_B7_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
233,SHUTDOWN-REQ,U35,SYS_CTRL,I2S0_SCLK_RX|PDM0_CLK1_M0|I2C2_SDA_M3|PWM11_IR_M2|SPI4_CS1_M0|GPIO1_C4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
234,I2C3-SDA,AR36,I2C,GMAC1_PPSTRIG|I2C3_SDA_M1|UART7_TX_M1|SPI1_MISO_M1|GPIO3_C0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
235,BBAT,,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
236,UART2-TX,AH39,UART_DEBUG,I2S1_MCLK_M1|JTAG_TCK_M2|I2C1_SCL_M0|UART2_TX_M0|PCIE20X1_1_CLKREQN_M0|GPIO0_B5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
237,POWER-EN,,OTHER,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
238,UART2-RX,AH40,UART_DEBUG,I2S1_SCLK_TX_M1|JTAG_TMS_M2|I2C1_SDA_M0|UART2_RX_M0|PCIE20X1_1_WAKEN_M0|GPIO0_B6_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
239,PMIC_RESET_L,,SYS_CTRL,NPOR,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
240,SLEEP-WAKE,N41,OTHER,I2C3_SCL_M0|UART3_TX_M0|SPI4_MOSI_M0|GPIO1_C1_z,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
241,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
242,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
243,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
244,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
245,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
246,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
247,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
248,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
249,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
250,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
251,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
252,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
253,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
254,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
255,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
256,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
257,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
258,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
259,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
260,VCC_SYSIN,-,POWER_5V,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
