ball,primary_signal,alternate_functions,power_ground_domain_class,voltage_domain,cpb0_usage,destination_net,source_document,source_page_table,confidence,unresolved,unresolved_reason
AE45,SD1_DATA1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AE47,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE49,SD3_DATA2,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_DATA2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AE51,SD2_VSELECT,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD2_VSELECT,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AF2,DRAM_DMI0_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DMI0_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF4,DRAM_DQ02_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ02_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF6,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF8,DRAM_DQ15_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ15_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF10,DRAM_DQ10_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ10_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF12,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF14,ETH_REF_PAD_CLK_N,,ETHERNET,ETH_VP,GBE_OR_10GBE,ETH_REF_PAD_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF16,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF18,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF20,CCM_CLKO2,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,CCM_CLKO2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AF22,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF24,ENET2_TX_CTL,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TX_CTL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF26,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF28,ENET2_TD2,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF30,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF32,ENET1_TX_CTL,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TX_CTL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF34,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF36,ENET1_TD2,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF38,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF40,SD1_CMD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_CMD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AF42,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF44,SD1_DATA4,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA4,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AF46,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF48,SD3_CMD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_CMD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AF50,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AF52,SD3_DATA3,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_DATA3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG1,DRAM_DQ00_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ00_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG3,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG5,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG7,DRAM_DQ12_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ12_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG11,DRAM_DQ11_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ11_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG13,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG15,ETH_REF_PAD_CLK_P,,ETHERNET,ETH_VP,GBE_OR_10GBE,ETH_REF_PAD_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG17,ETH_RESREF,,ETHERNET,ETH_VPH,GBE_OR_10GBE,ETH_RESREF,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG19,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG21,DAP_TCLK_SWCLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,DAP_TCLK_SWCLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG23,ENET2_TXC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TXC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG25,ENET2_TD0,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TD0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG27,ENET2_TD1,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TD1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG29,ENET2_TD3,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_TD3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG31,ENET1_TXC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TXC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG33,ENET1_TD0,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TD0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG35,ENET1_TD1,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TD1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG37,ENET1_TD3,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_TD3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AG39,SD1_CLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_CLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG41,SD1_STROBE,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_STROBE,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG43,SD1_DATA3,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG45,SD1_DATA0,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG47,SD1_DATA5,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA5,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG49,SD3_DATA0,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_DATA0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AG51,SD3_CLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_CLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH2,DRAM_WCK1_T_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_WCK1_T_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH4,DRAM_WCK1_C_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_WCK1_C_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH6,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH8,DRAM_DMI1_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DMI1_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH10,DRAM_DQ09_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ09_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH12,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH14,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH16,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH18,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH20,CCM_CLKO1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,CCM_CLKO1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH22,DAP_TMS_SWDIO,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,DAP_TMS_SWDIO,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH24,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH26,ENET2_RX_CTL,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RX_CTL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH28,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH30,ENET2_RD3,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RD3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH32,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH34,ENET1_RX_CTL,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RX_CTL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH36,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH38,ENET1_RD3,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RD3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH40,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH42,XSPI1_SS1_B,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_SS1_B,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH44,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH46,XSPI1_DATA1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH48,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AH50,XSPI1_DATA7,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA7,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AH52,SD3_DATA1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD3_DATA1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ1,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ3,DRAM_DQS1_C_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQS1_C_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ5,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ7,DRAM_DQ08_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ08_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ11,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ13,ETH_RX0_P,,ETHERNET,ETH_VP,GBE_OR_10GBE,ETH_RX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ15,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ17,ETH_TX0_P,,ETHERNET,ETH_VPTX,GBE_OR_10GBE,ETH_TX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ19,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ21,CCM_CLKO4,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,CCM_CLKO4,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ23,DAP_TDO_TRACESWO,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,DAP_TDO_TRACESWO,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ25,ENET2_RXC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RXC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ27,ENET2_RD0,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RD0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ29,ENET2_RD2,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ31,ENET2_MDIO,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_MDIO,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ33,ENET1_RXC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RXC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ35,ENET1_RD0,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RD0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ37,ENET1_RD2,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ39,ENET1_MDIO,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_MDIO,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AJ41,XSPI1_SS0_B,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_SS0_B,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ43,XSPI1_SCLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_SCLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ45,XSPI1_DATA0,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ47,XSPI1_DATA2,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ49,XSPI1_DATA4,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA4,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AJ51,XSPI1_DATA6,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA6,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK2,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK4,DRAM_DQS1_T_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQS1_T_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK8,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK12,ETH_RX0_N,,ETHERNET,ETH_VP,GBE_OR_10GBE,ETH_RX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK16,ETH_TX0_N,,ETHERNET,ETH_VPTX,GBE_OR_10GBE,ETH_TX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK20,CCM_CLKO3,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,CCM_CLKO3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK24,DAP_TDI,SEE_IMX95_PINMUX_SHEET,IO,NVCC_CCM_DAP,GPIO_PERIPH_CANDIDATE,DAP_TDI,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK28,ENET2_RD1,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_RD1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK32,ENET2_MDC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET2_MDC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK36,ENET1_RD1,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_RD1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK40,ENET1_MDC,,ETHERNET,NVCC_ENET,GBE_OR_10GBE,ENET1_MDC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AK44,XSPI1_DQS,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DQS,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK48,XSPI1_DATA3,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK50,XSPI1_DATA5,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,XSPI1_DATA5,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AK52,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B2,LVDS1_D0_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B4,LVDS0_CLK_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B6,MIPI_DSICSI1_D3_P,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D3_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
